Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,AccY_corr,AccZ_corr,GyroX_corr,GyroY_corr,GyroZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_acc_deg,KneeAngle_gyro_deg,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_acc_deg,KneeValgus_filt_deg
,-7.899,-2.749,-6.202,-7.227,-1.374,-6.592,6.93,2.1,3.01,1.437373076923076,-2.340044230769231,-2.8760173076923077,2.108707692307693,-0.9646365384615385,-3.2720076923076915,3.9765970274048867,4.010387278238026,4.4890041449986935,4.2949483932040895,17.965050424262785,-5.670346301775145,15.5129454376516,15.038616706307694,50.64369703258664,56.71341057367345
,-7.901,-2.386,-6.451,-7.554,-1.369,-6.561,10.99,2.24,3.36,1.4353730769230761,-1.9770442307692309,-3.1250173076923073,1.7817076923076929,-0.9596365384615384,-3.241007692307692,3.9667030306981634,3.82093122790459,4.445116432222708,4.279916033304241,17.989471298453026,-5.687478106508872,15.579265123506682,15.204614904943973,56.79621116677478,56.63583925891229
43563.0,-7.679,-1.606,-6.691,-7.351,-3.156,-6.456,7.35,0.63,2.66,1.6573730769230757,-1.1970442307692308,-3.3650173076923076,1.9847076923076932,-2.7466365384615385,-3.1360076923076923,3.937402936911099,4.617100945889133,4.3681507097392105,4.275133038206423,21.668631683169565,-5.7065618343195235,15.719754507954377,15.366745577745583,68.99193151749891,56.92028484125073
,-7.911,-2.041,-6.65,-7.499,-3.108,-6.451,6.65,-0.07,2.1,1.4253730769230764,-1.6320442307692307,-3.324017307692308,1.8367076923076935,-2.6986365384615385,-3.1310076923076915,3.967914797654091,4.523200579566626,4.2856957964887705,4.259809892566415,17.827873433856553,-5.724222485207098,15.779224324342243,15.529970665944317,62.40389697961678,57.56686256914466
,-7.688,-2.367,-6.647,-7.55,-2.56,-6.81,7.84,-1.33,2.52,1.6483730769230762,-1.9580442307692307,-3.321017307692308,1.7857076923076933,-2.1506365384615385,-3.4900076923076915,4.192878124673478,4.471481094145379,4.2462814510641635,4.219120779854777,19.92508010723246,-5.741392751479287,15.878968300946795,15.69134526680626,58.851795222450946,58.331992351563855
,-7.298,-2.754,-6.597,-7.478,-2.24,-7.002,9.87,-1.61,3.64,2.038373076923076,-2.345044230769231,-3.271017307692308,1.8577076923076934,-1.8306365384615386,-3.6820076923076916,4.511513213126117,4.512149005986242,4.20242087495646,4.1889041902,23.635527841602133,-5.759255325443784,16.05160481424511,15.851593682346987,55.372832276904674,58.91042601245355
43639.0,-7.509,-2.29,-7.069,-7.404,-3.458,-6.815,16.38,-4.97,4.9,1.8273730769230756,-1.8810442307692308,-3.7430173076923077,1.9317076923076932,-3.0486365384615386,-3.4950076923076923,4.570317092506568,5.024018125111951,4.158186970422666,4.152977875498111,20.343151070285003,-5.77782943786982,16.15563836954342,16.011178712473257,62.387037440258624,59.935482101637945
,-7.475,-2.441,-7.047,-7.473,-3.75,-6.561,12.67,-6.37,6.86,1.8613730769230763,-2.032044230769231,-3.7210173076923074,1.8627076923076933,-3.3406365384615384,-3.241007692307692,4.630322158494191,5.0133485107943745,4.106789635307389,4.109239570131949,20.478328217962016,-5.795740088757394,16.259644604381617,16.170764544702646,60.660163199332914,60.839965282601305
,-7.48,-2.795,-6.892,-7.459,-3.534,-6.712,10.15,-7.35,8.89,1.8563730769230755,-2.386044230769231,-3.566017307692308,1.8767076923076935,-3.124636538461538,-3.3920076923076916,4.675019519817331,4.97906632256795,4.05632993597338,4.072330609346267,20.171262091548357,-5.813785355029583,16.355561315071697,16.325383066311062,56.001814093553826,61.177279663140055
,-7.392,-3.125,-6.978,-7.473,-3.25,-6.839,10.71,-8.82,9.94,1.9443730769230756,-2.716044230769231,-3.6520173076923075,1.8627076923076933,-2.8406365384615384,-3.5190076923076923,4.949213406334617,4.891043961072699,4.006391509719916,4.025087332224844,19.908172823849682,-5.8316960059171565,16.44416598311708,16.472826271240667,53.407507092619646,61.345404485479385
