Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
,0.57,9.887,-0.388,0.634,9.785,-0.424,5.39,1.4,1.61,0.6253972340516576,0.6225605598279571,9.82669069356896,9.838125026183166,-0.40366713204186405,-0.4083998143815085,0.6601212036777875,0.6456713979485104,9.851774046723767,9.844679344421024,-0.3851052428517626,-0.4050611475662741,2.744590209544943,2.763142314716679,1.6138369870054183,1.4951049589598324,0.6853863907456438,0.9372348108227486
,0.517,9.653,-0.421,0.522,9.801,-0.433,5.11,0.35,0.21,0.6239325701828861,0.617944128581971,9.825703984830948,9.83002903884965,-0.40325906452210053,-0.40895085248408425,0.6618254738748335,0.6402629337772824,9.852360996627345,9.842769135809796,-0.3889933034152755,-0.4062829845057736,2.80252138437004,2.8657763587751974,1.536717311303491,1.4450266122639512,0.7111812432395092,0.9054309864652186
17567.0,0.627,9.782,-0.371,0.773,9.844,-0.249,1.26,1.47,0.42,0.6224114277282232,0.6183401648273448,9.824165206512811,9.827928607059391,-0.40356684891867384,-0.4072911653669936,0.664048987489612,0.6460678626352742,9.852978689968003,9.842822964625373,-0.3939531897098399,-0.39940460033162967,2.850030173809155,2.7955516823544095,1.4627077052569462,1.446118761904411,0.7487106890602684,0.8842018571640838
,0.713,9.844,-0.359,0.715,9.962,-0.44,0.77,1.33,0.35,0.6208453899886194,0.6224798797127447,9.822149520844384,9.828631449869798,-0.4046368179752612,-0.4051792701187247,0.6666801994245107,0.6490824399859604,9.853508879423213,9.848034878912339,-0.39979790909857293,-0.40117994021025283,2.892123859996334,2.706969165436912,1.391084525966238,1.4410405936797028,0.7922336354569464,0.860839853882789
,0.775,9.899,-0.364,0.701,9.868,-0.369,1.26,1.54,0.28,0.6192448604557951,0.6291499717441168,9.819763313588368,9.831708845197042,-0.40644069538780436,-0.4033783961031567,0.6695620530965378,0.6513529266777209,9.853807005139105,9.848908004338815,-0.40628690015781566,-0.3997726297363155,2.9345334123606155,2.6436895307117068,1.3204764779096165,1.445368339725819,0.8358747615882879,0.8354382526147714
,0.644,9.859,-0.45,0.625,9.859,-0.424,1.19,2.24,2.24,0.6176287849650549,0.6297994011764347,9.817142802647863,9.832902356674973,-0.4088851835954064,-0.40541727719016635,0.6725004945268013,0.6502004462973925,9.853718795227904,9.849349352927536,-0.41313671365542204,-0.40083215413894874,2.9825086317167058,2.5801159973534364,1.2493223370862276,1.48011959939627,0.8741105837837558,0.896863303297656
17643.0,0.548,9.842,-0.467,0.66,9.804,-0.402,2.52,1.47,0.63,0.6160292624533659,0.6262221057158073,9.814451128358963,9.833300219711877,-0.41182913274299804,-0.40811044598593205,0.6752744131115503,0.650629005656903,9.853097787238411,9.847366110605014,-0.4200381189306637,-0.4008832270030207,3.039814203258134,2.577486972185151,1.1763390874690913,1.479677043626142,0.9022134705789836,0.8851926936139047
,0.486,9.794,-0.414,0.651,9.84,-0.431,2.87,1.33,1.12,0.6144896831630279,0.6200898370800647,9.811870858188039,9.831581521340556,-0.41510495454041374,-0.40836801113355703,0.6776476374539959,0.650645230181293,9.851822265446705,9.84704397188944,-0.42667856922190767,-0.4022003099373867,3.108090920736154,2.590279309433677,1.1009189360648668,1.4731312865542896,0.9166235698761613,0.8954614131787996
,0.605,9.804,-0.428,0.617,9.785,-0.431,3.71,1.19,0.77,0.6130590111914652,0.6194299201991124,9.809590921583682,9.830375311396844,-0.41854023525484163,-0.4092265678423468,0.6793846076852683,0.6491738388572942,9.849811577595112,9.844330631500545,-0.4327678394040633,-0.40345979349162747,3.1866381516589923,2.6392475376349305,1.0233932915574178,1.4607492366665693,0.9152169938543276,0.8899746670976104
,0.637,9.804,-0.428,0.648,9.883,-0.424,4.27,1.26,0.21,0.6117864497180636,0.6201983043903243,9.807789427262984,9.829221852075925,-0.42197611274485863,-0.41004757768682126,0.6802708814166255,0.6491225039042834,9.847041943273366,9.846021741146936,-0.4380640061417183,-0.4043580688634027,3.272581576841804,2.71056448246736,0.9451315349823628,1.4519699629466705,0.8974494243146065,0.8602376487947101
17718.0,0.615,9.758,-0.455,0.646,9.835,-0.486,2.73,0.84,2.03,0.6107191732922337,0.6199709693434777,9.806615366299368,9.826107139688494,-0.4252803814735535,-0.412013461225972,0.6801379361833582,0.6489859488820957,9.843560690777904,9.845539732427971,-0.44239653793943523,-0.4079284777594515,3.3613345123972884,2.7114144469859816,0.8684716863501251,1.4252069629857351,0.8643661033021333,0.911394325846095
,0.682,9.801,-0.438,0.771,9.876,-0.507,3.22,0.98,1.75,0.6099028270258806,0.6226836563143283,9.806172580453334,9.825009140735625,-0.42835464954123753,-0.41314991853319893,0.678889333254534,0.6543219330692586,9.839496171647456,9.846871837252063,-0.44568304830908145,-0.41226112691936573,3.4472439841035785,2.7336561842599933,0.7965031085901356,1.4057369323397477,0.8184735569345488,0.948068680771219
