Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,AccY_corr,AccZ_corr,GyroX_corr,GyroY_corr,GyroZ_corr,MagnX_corr,MagnY_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,Roll_raw,Pitch_raw,KneeValgus_fused_deg,KneeAngle_fused_deg,KneeValgus_filt_deg,KneeAngle_fused_filt_deg,Quat_w,Quat_x,Quat_y,Quat_z
,-8.887,-1.175,-4.984,-8.882,-0.658,-4.64,5.18,4.62,3.15,0.4589153846153824,-0.18055961538461562,-1.8054788461538465,0.4631730769230771,0.33541346153846163,-1.4610499999999993,5.18,4.62,3.15,1.871619344004958,1.568980112005121,1.6363349573427297,1.723949646008241,36.80141475089301,-11.996160350815456,36.721831372789815,-12.03373710388416,36.695530423734354,-12.034623170401884,0.9196450824691745,0.27722854014836523,-0.17756480108095715,-0.2141681587784502
,-9.062,-1.113,-4.791,-9.143,-0.596,-4.695,5.88,3.57,3.22,0.28391538461538346,-0.11855961538461557,-1.6124788461538468,0.20217307692307607,0.3974134615384617,-1.51605,5.88,3.57,3.22,1.6415700890656757,1.5802591606899568,1.6707093079804582,1.73210441856961,36.80702215026452,-11.990396250873054,36.72743877216133,-12.027973003941758,36.73556104105095,-12.042271198549427,0.9194524536251268,0.2771386867733779,-0.17776213514372394,-0.21494640523955272
,-8.813,-1.041,-4.815,-9.134,-0.459,-4.733,6.3,2.24,2.87,0.5329153846153822,-0.046559615384615505,-1.6364788461538469,0.2111730769230764,0.5344134615384617,-1.5540499999999993,6.3,2.24,2.87,1.72169382262165,1.6568835863725242,1.6808364883590834,1.7694333454582178,36.81759358143905,-12.007313045602924,36.738010203335854,-12.044889798671628,36.77763354677813,-12.049391097320179,0.9192508345267573,0.27703843277129114,-0.1781392039672265,-0.21562475275211387
82772.0,-8.981,-0.419,-4.695,-8.334,-1.043,-4.592,7.98,2.8,0.28,0.364915384615383,0.5754403846153844,-1.5164788461538468,1.0111730769230771,-0.049586538461538265,-1.4130499999999993,7.98,2.8,0.28,1.6625290869658182,1.7382865468013835,1.675242860094815,1.7872283427552869,36.88599915823153,-12.007720373800561,36.80641578012833,-12.045297126869265,36.81976184611122,-12.056645190644009,0.9189204609425357,0.2774499728807491,-0.17848294036016837,-0.21621872955416627
,-8.897,-0.467,-4.685,-8.799,-0.553,-4.678,6.65,2.94,0.21,0.4489153846153826,0.5274403846153843,-1.506478846153846,0.5461730769230773,0.4404134615384616,-1.4990499999999995,6.65,2.94,0.21,1.6580702324620105,1.6551193158077488,1.6605533797375345,1.7866291910703367,36.94582194762395,-12.012813117830543,36.86623856952075,-12.050389870899247,36.8618612388934,-12.064747710024438,0.9186126536744721,0.2777832180731217,-0.1788441441296655,-0.2167995580636919
,-8.806,-0.586,-4.614,-9.021,-0.38,-4.791,3.15,2.45,0.98,0.5399153846153837,0.40844038461538446,-1.4354788461538464,0.32417307692307595,0.6134134615384617,-1.61205,3.15,2.45,0.98,1.5871142643440388,1.7550126669338806,1.677273741589302,1.7829980138288455,36.99509996761327,-12.028533334292199,36.91551658951008,-12.066110087360903,36.903486967083786,-12.073270382091206,0.9183277759253493,0.2780046327542388,-0.17927059530524503,-0.21736967081468644
,-8.373,-0.981,-4.673,-9.002,-0.495,-4.807,1.12,3.15,1.75,0.9729153846153835,0.013440384615384438,-1.4944788461538465,0.3431730769230761,0.49841346153846167,-1.62805,1.12,3.15,1.75,1.7833148939997225,1.7368737840924433,1.6706395455223575,1.7690127681458734,37.0050260857446,-12.074985910960585,36.92544270764141,-12.112562664029289,36.94449901890485,-12.081456731966231,0.9181553240036233,0.27785164846139826,-0.1798375982470066,-0.21782493132750733
82848.0,-8.859,-0.598,-4.633,-8.904,-0.359,-5.095,-1.05,3.71,1.96,0.48691538461538286,0.39644038461538444,-1.4544788461538465,0.44117307692307683,0.6344134615384617,-1.9160499999999994,-1.05,3.71,1.96,1.584222296345486,2.0660013858860276,1.6841268564445009,1.751811855258054,37.0563745574126,-12.083474679618101,36.97679117930941,-12.121051432686805,36.98208785589106,-12.0904242844633,0.9178568695960648,0.27809931411804933,-0.18022246572134148,-0.21844770832330276
,-8.842,-0.766,-4.582,-8.887,-0.201,-5.15,-1.12,3.43,1.75,0.5039153846153823,0.2284403846153844,-1.4034788461538463,0.4581730769230763,0.7924134615384617,-1.97105,-1.12,3.43,1.75,1.5085982221176801,2.173218756808556,1.7017108858173404,1.7437964334922456,37.095013331957766,-12.096951747013657,37.01542995385457,-12.13452850008236,37.01661051754957,-12.098754429824456,0.9175837882143656,0.2782287434398243,-0.18062822694724984,-0.2190940472946803
,-8.911,-0.723,-4.568,-8.921,-0.285,-5.231,-1.4,2.59,1.89,0.43491538461538326,0.27144038461538444,-1.389478846153846,0.4241730769230774,0.7084134615384616,-2.0520499999999995,-1.4,2.59,1.89,1.4810410993906677,2.2119406940908917,1.7070798087307655,1.7549548344105372,37.138981093378675,-12.103080309432865,37.05939771527548,-12.14065706250157,37.04973520347843,-12.106978048060117,0.9172935678947236,0.278414936487921,-0.18099238942971896,-0.2197712183337851
,-9.026,-0.66,-4.822,-9.019,-0.591,-5.078,-1.33,1.12,2.31,0.31991538461538305,0.3344403846153844,-1.6434788461538465,0.3261730769230766,0.4024134615384617,-1.89905,-1.33,1.12,2.31,1.707401224648288,1.968429925762366,1.7073702364784473,1.7322928908639912,37.18599422613596,-12.093208742732427,37.106410848032766,-12.130785495801131,37.08124590382624,-12.11536886171304,0.9169905998552563,0.2786596994982864,-0.1812452315099596,-0.2205157085278117
82923.0,-8.952,-0.84,-4.903,-8.569,-0.637,-5.116,-3.85,-0.21,0.63,0.3939153846153829,0.15444038461538445,-1.724478846153846,0.7761730769230759,0.35641346153846165,-1.9370499999999993,-3.85,-0.21,0.63,1.7756262144575736,2.1169879318045393,1.6934858924152028,1.7246734685880765,37.22209539676589,-12.091288796272957,37.14251201866269,-12.128865549341661,37.11317143090567,-12.123182731497675,0.9167062733317939,0.2787918062111546,-0.18154795643672972,-0.22128053854169766
,-8.873,-0.766,-4.867,-8.655,-1.046,-4.721,-3.29,0.0,0.77,0.4729153846153835,0.2284403846153844,-1.6884788461538465,0.6901730769230774,-0.05258653846153838,-1.5420499999999997,-3.29,0.0,0.77,1.7682745217409443,1.6902728840742947,1.675169097889611,1.7202372186031774,37.26219383402404,-12.102228118966327,37.182610455920845,-12.13980487203503,37.14590400957929,-12.13159182358452,0.9164160498041183,0.2789280371391644,-0.18195239738268307,-0.2219776989830353
,-8.969,-0.761,-4.752,-8.849,-1.187,-4.611,-4.06,-1.05,0.91,0.37691538461538343,0.2334403846153844,-1.5734788461538463,0.49617307692307655,-0.1935865384615384,-1.4320499999999994,-4.06,-1.05,0.91,1.6347462493068399,1.527884378032851,1.6462158365348583,1.6724926367079462,37.30305348352571,-12.107899322796786,37.223470105422514,-12.14547607586549,37.18004503811896,-12.140977471494033,0.9161220843906276,0.27908163184273327,-0.18231953409230728,-0.2226956594730413
