Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,Yaw_deg,Pitch_deg,Roll_deg,KneeAngle_fused_deg,KneeAngle_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
,-9.356,-1.278,-3.125,-9.194,-1.426,-3.063,1.68,-6.16,-0.77,0.17525961538461488,0.33580769230769114,-0.9542884615384615,-1.6545057692307692,-1.799778846153846,-7.568346153846154,-0.42314230769230754,-0.36230192307692377,-1.5140192307692306,1.7167279009097027,1.8663422474833289,1.9032305615182763,1.9383294105527977,83.23914227773531,-54.8122844220874,-120.10182142134221,54.04591397181234,54.02117946323544,-125.92475712179407,-125.95308461568274
,-9.162,-1.211,-3.34,-9.119,-1.441,-2.927,0.63,-6.37,-0.84,0.36925961538461394,0.4108076923076922,-2.0042884615384615,-1.5875057692307695,-1.814778846153846,-7.7783461538461545,-0.6381423076923074,-0.22630192307692365,-1.5840192307692307,1.7503579164736092,1.8744059808096458,1.9027753912456937,1.9601379982106577,83.23835048914026,-54.86168305420733,-120.04072793974031,54.09531260393227,54.06723878136867,-125.86366364019217,-125.88746143951775
,-9.124,-1.352,-3.192,-9.383,-1.412,-3.113,0.77,-4.9,-0.77,0.4072596153846142,0.14680769230769286,-1.8642884615384614,-1.7285057692307695,-1.7857788461538462,-6.308346153846154,-0.4901423076923077,-0.4123019230769236,-1.5140192307692306,1.8422356174977235,1.8386276027690334,1.8999326962626952,1.9763530091032178,83.27283920876121,-54.91855232961281,-120.01161850919429,54.152181879337746,54.11291920781776,-125.83455420964616,-125.82164083676973
58834.0,-9.22,-1.347,-3.372,-9.225,-1.498,-3.29,5.39,-0.98,-1.05,0.3112596153846141,0.30480769230769234,2.7557115384615383,-1.7235057692307691,-1.871778846153846,-2.388346153846154,-0.6701423076923074,-0.5893019230769236,-1.7940192307692309,1.8752187598518457,1.9858853276916884,1.9020375710770532,1.9901578355447676,83.28026149311874,-54.96914846116423,-119.95765197064001,54.20277801088917,54.1585888547352,-125.78058767109188,-125.7572035930833
,-9.134,-1.429,-3.539,-9.239,-1.34,-3.07,4.83,-0.98,-0.98,0.3972596153846144,0.2908076923076912,2.1957115384615387,-1.8055057692307694,-1.7137788461538461,-2.388346153846154,-0.8371423076923077,-0.36930192307692344,-1.7240192307692306,2.029402258811576,1.7770737063549298,1.914084205490631,1.994574334807106,83.25928238962149,-55.01492764373952,-119.88177704373375,54.24855719346446,54.20391566771282,-125.70471274418561,-125.69246335773595
,-9.081,-1.519,-3.637,-9.217,-1.283,-2.733,4.76,-0.77,-0.98,0.45025961538461523,0.31280769230769145,2.1257115384615384,-1.8955057692307693,-1.6567788461538462,-2.178346153846154,-0.9351423076923076,-0.0323019230769237,-1.7240192307692306,2.161056912269903,1.6863594550582035,1.9184006502563433,2.0113795347860592,83.22402661744195,-55.05611719518476,-119.79484437311018,54.2897467449097,54.248663349095565,-125.61778007356205,-125.62756663732073
,-9.093,-1.519,-3.565,-9.428,-1.342,-2.699,5.88,-0.28,-0.77,0.4382596153846148,0.10180769230769116,3.2457115384615385,-1.8955057692307693,-1.7157788461538463,-1.688346153846154,-0.8631423076923075,0.0016980769230765524,-1.5140192307692306,2.128386303045714,1.718797468751708,1.9314036384642768,2.011082775091129,83.20142367184691,-55.09990825510298,-119.71968861701252,54.33353780482792,54.2932274617129,-125.54262431746439,-125.56316011372971
58909.0,-9.399,-1.393,-2.869,-9.057,-1.546,-3.352,2.45,1.4,-0.7,0.13225961538461561,0.4728076923076916,-0.18428846153846123,-1.7695057692307694,-1.919778846153846,-0.008346153846154003,-0.16714230769230776,-0.6513019230769235,-1.4440192307692308,1.7822962223556928,2.081656102013206,1.939050263708674,2.014198311984612,83.27631044456137,-55.15395203143499,-119.72078730190297,54.38758158115993,54.33761792661828,-125.54372300235484,-125.49889923526484
,-9.268,-1.295,-3.163,-9.208,-1.701,-3.063,1.82,0.91,-0.84,0.26325961538461407,0.3218076923076918,-0.8142884615384614,-1.671505769230769,-2.0747788461538463,-0.4983461538461539,-0.46114230769230735,-0.36230192307692377,-1.5840192307692307,1.7538213676449455,2.130617313067066,1.9598425243946096,2.007446326476556,83.31449978165205,-55.20583507313867,-119.69248974253478,54.43946462286361,54.38322509663314,-125.51542544298664,-125.4360562643284
,-9.081,-1.249,-3.465,-9.378,-1.522,-3.226,1.89,1.05,-0.98,0.45025961538461523,0.15180769230769187,-0.7442884615384615,-1.6255057692307693,-1.895778846153846,-0.35834615384615387,-0.7631423076923074,-0.5253019230769236,-1.7240192307692306,1.8513208551838758,1.9730598367400085,1.9647875636756222,1.985411289557902,83.29176360321112,-55.254054743345385,-119.6180405269095,54.48768429307032,54.42912090131183,-125.44097622736136,-125.3732067844869
,-8.973,-1.338,-3.57,-9.232,-1.383,-3.391,2.03,1.61,-1.05,0.558259615384614,0.29780769230769266,-0.6042884615384616,-1.7145057692307692,-1.7567788461538463,0.20165384615384618,-0.8681423076923074,-0.6903019230769236,-1.7940192307692309,2.001213356266716,1.9108841097499796,1.9722818540166547,1.9651513447923934,83.25303940218407,-55.30250941649178,-119.53078969686786,54.53613896621672,54.47548809177772,-125.35372539731972,-125.31225859490831
