Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
619488,0.38287,0.88538,9.877925,0.560000,-4.200000,1.120000
619498,0.64609,0.64609,9.863567,0.490000,-4.340000,1.120000
619508,0.90931,0.100502,9.849210,0.420000,-4.480000,1.190000
619518,0.98109,0.47858,9.894675,0.420000,-4.410000,1.190000
619528,0.83752,0.16750,9.865960,0.490000,-4.410000,1.190000
619538,0.55037,0.71787,9.870746,0.490000,-4.550000,1.190000
619549,0.52644,0.62216,9.882710,0.490000,-4.340000,1.260000
619559,0.55037,0.83752,9.906639,0.420000,-4.340000,1.330000
619569,0.107681,0.57430,9.887496,0.490000,-4.200000,1.260000
619579,0.69394,0.98109,9.928176,0.490000,-4.410000,1.260000
619589,0.35894,0.69394,9.870746,0.490000,-4.200000,1.190000
619599,0.59823,0.114860,9.880318,0.420000,-4.270000,1.190000
619609,0.71787,0.93323,9.889889,0.420000,-4.340000,1.260000
619619,0.67001,0.45465,9.904246,0.560000,-4.410000,1.260000
619630,0.62216,0.119645,9.882710,0.490000,-4.550000,1.260000
619640,0.78966,0.81359,9.897068,0.490000,-4.480000,1.260000
619650,0.98109,0.59823,9.865960,0.420000,-4.550000,1.190000
619660,0.62216,0.76573,9.861175,0.560000,-4.480000,1.120000
619670,0.14357,0.78966,9.882710,0.630000,-4.340000,1.50000
619680,0.74180,0.98109,9.875532,0.490000,-4.270000,1.260000
619690,0.71787,0.67001,9.861175,0.490000,-4.270000,1.330000
619700,0.69394,0.102895,9.873138,0.490000,-4.480000,1.260000
619711,0.55037,0.64609,9.875532,0.420000,-4.480000,1.190000
619721,0.83752,0.35894,9.911426,0.420000,-4.410000,1.260000
619731,0.57430,0.81359,9.873138,0.490000,-4.200000,1.260000
619741,0.83752,0.83752,9.906639,0.630000,-4.270000,1.260000
619751,0.50251,0.64609,9.889889,0.420000,-4.270000,1.330000
619761,0.86145,0.88538,9.901854,0.420000,-4.270000,1.190000
619771,0.90931,0.69394,9.906639,0.490000,-4.200000,1.190000
619781,0.81359,0.62216,9.892282,0.420000,-4.410000,1.190000
619792,0.88538,0.71787,9.861175,0.490000,-4.410000,1.190000
619802,0.59823,0.88538,9.849210,0.490000,-4.480000,1.190000
619812,0.86145,0.122038,9.865960,0.490000,-4.340000,1.190000
619822,0.88538,0.69394,9.882710,0.420000,-4.480000,1.260000
619832,0.28715,0.71787,9.892282,0.350000,-4.480000,1.260000
619842,0.76573,0.47858,9.892282,0.420000,-4.270000,1.190000
