Timestamp,MagnX,MagnY,MagnZ
,-46.807,-113.347,-143.703
,-44.297,-113.764,-142.813
,-43.756,-112.767,-140.537
,-44.193,-113.183,-137.383
3492.0,-40.043,-111.445,-132.617
,-37.21,-112.153,-129.397
,-37.987,-110.961,-129.461
,-38.578,-110.569,-127.425
,-41.049,-109.383,-129.862
,-37.38,-109.95,-125.221
,-34.379,-110.981,-124.302
,-35.384,-107.879,-123.044
3568.0,-36.616,-106.065,-122.014
,-36.917,-107.571,-119.475
,-37.16,-106.704,-117.077
,-38.638,-102.705,-114.115
,-40.719,-101.236,-109.915
,-41.461,-101.356,-108.53
,-41.239,-96.309,-104.552
,-41.995,-96.433,-103.588
3644.0,-43.609,-92.182,-103.525
,-45.293,-92.667,-101.777
,-44.211,-94.433,-101.116
,-46.62,-87.114,-99.662
,-50.038,-85.454,-98.364
,-51.477,-83.885,-98.497
,-51.775,-81.71,-98.109
,-57.173,-80.238,-96.55
3720.0,-57.653,-76.982,-96.951
,-56.146,-76.176,-96.678
,-59.83,-72.333,-94.01
,-60.264,-69.907,-96.52
,-60.536,-69.413,-61.525
,-65.946,-70.016,-98.044
,-67.089,-63.463,-98.136
,-67.567,-67.367,-98.965
3795.0,-70.272,-61.072,-98.672
,-71.509,-63.78,-99.004
,-77.308,-59.394,-102.814
,-77.279,-58.347,-103.469
,-79.498,-57.467,-105.682
,-80.113,-57.64,-106.69
,-79.225,-57.008,-107.565
,-81.509,-55.581,-109.399
3871.0,-82.168,-53.604,-108.624
,-82.99,-53.742,-109.624
,-82.456,-54.626,-109.504
,-85.093,-50.756,-111.464
,-86.607,-48.924,-112.671
,-85.62,-51.75,-113.319
,-87.809,-49.263,-113.845
,-88.186,-50.864,-119.733
3947.0,-88.541,-49.461,-118.361
,-88.538,-46.261,-116.672
,-90.444,-46.792,-121.52
,-91.01,-44.874,-124.12
,-91.68,-39.017,-130.928
,-92.169,-39.042,-139.34
,-92.781,-35.813,-143.67
,-90.552,-35.371,-141.504
4023.0,-88.9,-35.094,-139.223
,-89.394,-36.36,-141.266
,-88.558,-31.7,-138.623
,-89.901,-32.27,-138.996
,-87.437,-32.138,-137.166
,-87.484,-32.148,-138.57
,-88.602,-33.029,-139.56
,-87.18,-32.722,-137.973
4099.0,-88.409,-28.268,-137.595
,-85.988,-32.384,-137.079
,-87.145,-30.354,-138.815
,-87.059,-29.575,-138.958
,-86.462,-27.806,-137.667
,-85.618,-32.743,-139.529
,-87.656,-30.024,-140.575
,-86.921,-31.225,-141.774
4175.0,-86.095,-31.366,-141.805
,-89.269,-28.212,-144.729
,-86.203,-31.109,-143.861
,-87.786,-32.211,-147.551
,-87.701,-31.992,-150.036
,-88.782,-33.426,-152.245
,-85.055,-35.939,-153.977
,-87.936,-36.002,-155.932
4251.0,-84.963,-37.598,-158.197
,-86.941,-35.426,-159.762
,-87.481,-35.102,-162.364
,-83.127,-40.08,-162.014
,-86.706,-38.454,-165.487
,-84.169,-39.705,-167.268
,-81.95,-44.344,-168.946
,-84.555,-44.988,-171.145
4327.0,-83.445,-47.028,-170.814
,-83.791,-45.422,-174.171
,-83.826,-47.309,-177.169
,-81.696,-51.128,-178.001
,-82.49,-52.86,-179.003
,-81.904,-57.493,-181.23
,-80.572,-57.685,-178.47
,-81.677,-60.164,-179.883
4403.0,-80.083,-65.739,-180.181
,-81.933,-72.3,-179.229
,-82.508,-74.545,-175.978
,-85.787,-79.535,-174.878
,-86.388,-84.146,-170.505
,-86.095,-82.843,-168.313
,-84.579,-87.316,-166.312
,-83.636,-91.192,-166.725
4479.0,-85.346,-89.042,-166.473
,-83.746,-89.816,-164.238
,-85.986,-87.061,-165.136
,-85.423,-90.859,-164.552
,-88.092,-91.437,-162.533
,-85.67,-90.754,-159.625
,-87.059,-90.774,-159.058
,-87.779,-88.25,-157.765
4555.0,-89.121,-92.781,-157.017
,-91.248,-90.282,-155.719
,-89.36,-88.713,-152.93
,-87.371,-93.524,-150.291
,-88.39,-90.424,-149.455
,-87.854,-93.669,-147.37
,-88.365,-94.1,-146.462
,-88.622,-93.236,-144.484
4631.0,-86.512,-94.62,-141.66
,-87.178,-93.964,-140.698
,-88.857,-94.448,-138.81
,-89.365,-90.638,-137.71
,-86.124,-92.457,-133.148
,-85.859,-94.36,-133.347
,-88.648,-91.763,-133.289
,-88.61,-91.755,-132.166
4707.0,-87.529,-90.602,-131.128
,-86.08,-91.329,-127.201
,-86.074,-89.728,-126.216
,-86.57,-88.835,-125.213
,-85.979,-85.188,-122.188
,-83.121,-89.09,-119.814
,-84.997,-88.216,-117.965
,-82.319,-85.197,-115.485
4783.0,-83.162,-83.459,-115.171
,-82.821,-81.106,-113.074
,-81.208,-82.157,-111.589
,-81.187,-80.553,-110.183
,-78.489,-80.449,-107.52
,-77.459,-73.186,-105.959
,-75.911,-73.692,-104.096
,-78.452,-71.961,-106.295
4859.0,-82.392,-70.253,-108.209
,-78.792,-69.235,-104.829
,-78.405,-67.431,-103.67
,-78.465,-66.884,-103.152
,-77.915,-69.645,-104.487
,-75.898,-66.249,-102.076
,-76.289,-67.013,-104.872
,-74.584,-65.405,-101.374
4935.0,-75.197,-64.257,-102.709
,-75.022,-62.699,-102.854
,-76.449,-58.488,-103.36
,-73.876,-56.531,-102.469
,-72.828,-55.384,-102.413
,-72.825,-52.463,-101.896
,-76.508,-51.619,-105.787
,-77.206,-46.73,-105.756
5010.0,-75.729,-46.971,-104.828
,-76.075,-41.885,-105.466
,-75.972,-41.663,-107.39
,-77.551,-38.803,-112.059
,-78.333,-32.612,-114.882
,-72.758,-26.685,-115.691
,-72.991,-24.093,-123.361
,-74.545,-19.909,-127.655
5086.0,-74.39,-18.713,-135.715
,-71.59,-19.227,-138.488
,-73.226,-17.42,-143.344
,-72.649,-17.815,-145.801
,-69.737,-18.864,-147.549
,-69.145,-17.936,-149.911
,-70.015,-18.643,-154.657
,-71.886,-22.087,-158.9
5162.0,-69.776,-23.751,-157.246
,-73.078,-22.145,-158.622
,-73.047,-23.538,-163.495
,-69.677,-27.009,-162.03
,-70.335,-27.47,-165.472
,-72.615,-27.643,-168.011
,-69.825,-24.4,-167.174
,-66.789,-28.343,-165.65
5238.0,-67.937,-26.871,-169.447
,-67.14,-27.018,-170.32
,-66.625,-32.706,-173.154
,-65.598,-33.164,-174.504
,-63.571,-37.004,-178.422
,-63.037,-37.128,-180.971
,-61.904,-39.723,-182.28
,-61.94,-42.651,-183.78
5314.0,-61.392,-47.292,-187.13
,-59.703,-47.566,-186.068
,-58.534,-51.753,-187.098
,-55.451,-55.206,-188.012
,-53.914,-61.834,-188.496
,-52.701,-67.891,-190.138
,-48.277,-68.614,-187.633
,-49.148,-71.402,-189.383
5390.0,-45.558,-74.906,-187.505
,-45.521,-76.218,-186.055
,-47.373,-79.099,-187.395
,-44.493,-80.356,-185.113
,-42.359,-80.695,-183.085
,-42.308,-81.244,-183.883
,-40.95,-83.87,-184.638
,-42.897,-84.051,-183.396
5466.0,-39.515,-84.88,-182.304
,-38.645,-86.891,-182.947
,-37.504,-86.284,-182.426
,-36.449,-87.497,-180.265
,-34.95,-89.612,-180.65
,-35.827,-88.922,-179.821
,-31.702,-88.79,-176.601
,-30.482,-92.966,-176.088
5542.0,-34.128,-89.195,-178.479
,-31.383,-89.361,-175.583
,-29.08,-89.743,-174.684
,-30.437,-90.317,-175.478
,-25.672,-92.166,-173.595
,-24.748,-92.846,-173.021
,-24.162,-93.72,-171.357
